"person","text","word.num","dc","sf","wes","pol","rejk","lk","azx","mmm"
"Sampson","be",171,0,0,0,0,0,0,0,0
"Sampson","cruel",172,0,0,0,0,0,0,0,0
"Sampson","with",173,0,0,0,0,0,0,0,0
"Sampson","the",174,0,0,0,0,0,0,0,0
"Sampson","maids,",175,0,0,0,0,0,0,0,0
"Sampson","and",176,0,0,0,0,0,0,0,0
"Sampson","cut",177,0,0,0,0,0,0,0,0
"Sampson","off",178,0,0,0,0,0,0,0,0
"Sampson","their",179,0,0,0,0,0,0,0,0
"Sampson","heads.",180,0,0,0,0,0,0,0,0
"Gregory","The",181,0,0,0,0,0,0,0,0
"Gregory","heads",182,0,0,0,0,0,0,0,0
"Gregory","of",183,0,0,0,0,0,0,0,0
"Gregory","the",184,0,0,0,0,0,0,0,0
"Gregory","maids?",185,0,0,0,0,0,0,0,0
"Sampson","Ay,",186,0,0,0,0,0,0,0,0
"Sampson","the",187,0,0,0,0,0,0,0,0
"Sampson","heads",188,0,0,0,0,0,0,0,0
"Sampson","of",189,0,0,0,0,0,0,0,0
"Sampson","the",190,0,0,0,0,0,0,0,0
"Sampson","maids,",191,0,0,0,0,0,0,0,0
"Sampson","or",192,0,0,0,0,0,0,0,0
"Sampson","their",193,0,0,0,0,0,0,0,0
"Sampson","maidenheads;",194,0,0,0,0,0,0,0,0
"Sampson","take",195,0,0,0,0,0,0,0,0
"Sampson","it",196,0,0,0,0,0,0,0,0
"Sampson","in",197,0,0,0,0,0,0,0,0
"Sampson","what",198,0,0,0,0,0,0,0,0
"Sampson","sense",199,0,0,0,0,0,0,0,0
"Sampson","thou",200,0,0,0,0,0,0,0,0
"Sampson","wilt.",201,0,0,0,0,0,0,0,0
"Gregory","They",202,0,0,0,0,0,0,0,0
"Gregory","must",203,0,0,0,0,0,0,0,0
"Gregory","take",204,0,0,0,0,0,0,0,0
"Gregory","it",205,0,0,0,0,0,0,0,0
"Gregory","in",206,0,0,0,0,0,0,0,0
"Gregory","sense",207,0,0,0,0,0,0,0,0
"Gregory","that",208,0,0,0,0,0,0,0,0
"Gregory","feel",209,0,0,0,0,0,0,0,0
"Gregory","it.",210,0,0,0,0,0,0,0,0
"Sampson","Me",211,0,0,0,0,0,0,0,0
"Sampson","they",212,0,0,0,0,0,0,0,0
"Sampson","shall",213,0,0,0,0,0,0,0,0
"Sampson","feel",214,0,0,0,0,0,0,0,0
"Sampson","while",215,0,0,0,0,0,0,0,0
"Sampson","I",216,0,0,0,0,0,0,0,0
"Sampson","am",217,0,0,0,0,0,0,0,0
"Sampson","able",218,0,0,0,0,0,0,0,0
"Sampson","to",219,0,0,0,0,0,0,0,0
"Sampson","stand.",220,0,0,0,0,0,0,0,0
"Sampson","and",221,0,0,0,0,0,0,0,0
"Sampson","tis",222,0,0,0,0,0,0,0,0
"Sampson","known",223,0,0,0,0,0,0,0,0
"Sampson","I",224,0,0,0,0,0,0,0,0
"Sampson","am",225,0,0,0,0,0,0,0,0
"Sampson","a",226,0,0,0,0,0,0,0,0
"Sampson","pretty",227,0,0,0,0,0,0,0,0
"Sampson","piece",228,0,0,0,0,0,0,0,0
"Sampson","of",229,0,0,0,0,0,0,0,0
"Sampson","flesh.",230,0,0,0,0,0,0,0,0
"Gregory","'Tis",231,0,0,0,0,0,0,0,0
"Gregory","well",232,0,0,0,0,0,0,0,0
"Gregory","thou",233,0,0,0,0,0,0,0,0
"Gregory","art",234,0,0,0,0,0,0,0,0
"Gregory","not",235,0,0,0,0,0,0,0,0
"Gregory","fish;",236,0,0,0,0,0,0,0,0
"Gregory","if",237,0,0,0,0,0,0,0,0
"Gregory","thou",238,0,0,0,0,0,0,0,0
"Gregory","hadst,",239,0,0,0,0,0,0,0,0
"Gregory","thou",240,0,0,0,0,0,0,0,0
"Gregory","hadst",241,0,0,0,0,0,0,0,0
"Gregory","been",242,0,0,0,0,0,0,0,0
"Gregory","poor",243,0,0,0,0,0,0,0,0
"Gregory","John.",244,0,0,0,0,0,0,0,0
"Gregory","Draw",245,0,0,0,0,0,0,0,0
"Gregory","thy",246,0,0,0,0,0,0,0,0
"Gregory","tool!",247,0,0,0,0,0,0,0,0
"Gregory","here",248,0,0,0,0,0,0,0,0
"Gregory","comes",249,0,0,0,0,0,0,0,0
"Gregory","two",250,0,0,0,0,0,0,0,0
"Gregory","of",251,0,0,0,0,0,0,0,0
"Gregory","the",252,0,0,0,0,0,0,0,0
"Gregory","house",253,0,0,0,0,0,0,0,0
"Gregory","of",254,0,0,0,0,0,0,0,0
"Gregory","the",255,0,0,0,0,0,0,0,0
"Gregory","Montagues.",256,0,0,0,0,0,0,0,0
"Sampson","My",257,0,0,0,0,0,0,0,0
"Sampson","naked",258,0,0,0,0,0,0,0,0
"Sampson","weapon",259,0,0,0,0,0,0,0,0
"Sampson","is",260,0,0,0,0,0,0,0,0
